,close,high,low,open,time,volumefrom,volumeto
7462,369.38,370.0,369.38,370.0,1514337960.0,13.71,5075.49
7463,369.87,370.68,369.38,369.38,1514338020.0,42.81,15835.5
7464,369.69,369.81,369.68,369.77,1514338080.0,16.11,5948.12
7465,368.99,369.69,368.99,369.69,1514338140.0,66.94,24683.57
7466,369.41,369.59,368.74,368.98,1514338200.0,70.91,26150.36
7467,369.47,369.47,369.23,369.35,1514338260.0,12.01,4458.47
7468,370.41,370.47,369.56,370.27,1514338320.0,227.54,84383.87
7469,370.55,370.81,370.4,370.41,1514338380.0,24.76,9119.92
7470,371.63,371.63,370.55,370.55,1514338440.0,17.26,6386.23
7471,370.51,371.65,370.51,371.6,1514338500.0,4.75,1767.49
7472,371.03,371.03,370.76,370.76,1514338560.0,14.01,5218.33
7473,371.09,371.1,371.02,371.02,1514338620.0,64.9,24076.85
7474,371.88,371.88,371.09,371.09,1514338680.0,42.04,15616.64
7475,371.46,371.88,371.43,371.88,1514338740.0,120.78,44831.82
7476,371.28,371.44,371.28,371.43,1514338800.0,14.86,5540.34
7477,371.5,371.67,371.33,371.33,1514338860.0,9.58,3571.67
7478,370.82,371.56,370.82,371.4,1514338920.0,11.46,4286.43
7479,371.09,371.09,370.72,370.82,1514338980.0,12.16,4545.07
7480,371.34,371.34,370.81,371.09,1514339040.0,27.35,10170.76
7481,371.33,371.5,370.84,371.33,1514339100.0,4.35,1629.19
7482,370.81,371.33,370.75,371.33,1514339160.0,58.17,21604.09
7483,370.94,371.02,370.88,370.88,1514339220.0,19.59,7300.61
7484,369.55,371.0,369.55,371.0,1514339280.0,34.12,12606.82
7485,370.54,370.75,369.55,369.55,1514339340.0,58.21,21530.48
7486,369.64,370.64,369.64,370.64,1514339400.0,11.53,4270.78
7487,369.32,369.66,369.3,369.66,1514339460.0,7.99,2935.56
7488,368.76,368.88,368.76,368.88,1514339520.0,9.45,3495.52
7489,369.27,369.3,368.62,368.76,1514339580.0,87.03,32040.51
7490,369.21,369.27,369.18,369.27,1514339640.0,22.54,8313.61
7491,370.95,370.95,368.88,369.01,1514339700.0,122.42,45296.25
7492,370.23,370.96,370.23,370.96,1514339760.0,15.38,5679.47
7493,370.29,370.29,370.27,370.28,1514339820.0,22.23,8216.15
7494,370.56,370.56,370.27,370.29,1514339880.0,4.74,1783.75
7495,370.63,371.34,370.56,370.56,1514339940.0,53.73,19905.35
7496,371.39,371.5,370.68,370.68,1514340000.0,36.38,13548.98
7497,371.42,371.54,371.28,371.39,1514340060.0,25.04,9307.96
7498,371.57,372.32,370.99,371.42,1514340120.0,56.98,21186.19
7499,371.75,371.97,371.35,371.57,1514340180.0,57.84,21440.34
7500,371.77,371.77,371.5,371.75,1514340240.0,1.91,728.89
7501,372.3,372.31,371.77,371.77,1514340300.0,70.43,26121.19
7502,372.34,372.35,372.18,372.28,1514340360.0,5.52,2084.21
7503,372.37,372.37,372.23,372.34,1514340420.0,31.2,11616.46
7504,373.46,373.61,372.33,372.37,1514340480.0,368.28,138701.0
7505,372.42,373.77,372.31,373.46,1514340540.0,179.31,66933.22
7506,373.78,373.78,372.4,372.42,1514340600.0,24.72,9217.53
7507,374.11,374.42,373.47,373.47,1514340660.0,150.92,56411.71
7508,374.94,374.94,373.8,374.11,1514340720.0,147.29,55189.84
7509,374.87,375.09,374.7,374.95,1514340780.0,153.6,57572.46
7510,375.34,375.34,374.59,374.87,1514340840.0,361.79,135705.17
7511,376.62,376.85,375.08,375.34,1514340900.0,363.16,136650.08
7512,378.52,378.8,376.62,376.62,1514340960.0,696.21,263343.33
7513,379.34,379.34,378.27,378.47,1514341020.0,160.04,60717.56
7514,380.54,380.55,378.92,379.33,1514341080.0,612.4,232920.95
7515,383.89,383.89,380.54,380.54,1514341140.0,497.91,190685.17
7516,383.78,384.42,382.87,383.89,1514341200.0,392.09,150133.77
7517,385.9,386.3,382.96,383.78,1514341260.0,391.24,150683.23
7518,385.15,386.28,384.27,385.9,1514341320.0,280.66,108382.09
7519,385.84,386.45,383.35,385.15,1514341380.0,219.81,84453.94
7520,386.97,386.97,384.29,385.84,1514341440.0,78.25,30245.56
7521,388.0,388.0,386.97,387.19,1514341500.0,308.79,119683.65
7522,388.69,388.69,387.69,388.0,1514341560.0,156.03,60515.12
